Tamanho,M,N,Python_Tempo_Medio,Python_Tempo_Desvio,Python_Memoria_MB,Python_Iteracoes,C_Tempo_Medio,C_Tempo_Desvio,C_Memoria_MB,C_Iteracoes,Speedup,Reducao_Memoria
50x50,50,50,2.7731920719146728,0.6423076807188763,5.162890625,138.0,0.3226,0.112618,2.0,138,8.596379640157076,61.26201104637967
60x60,60,60,5.463850402832032,0.36542847114706806,6.98046875,166.7,0.6064,0.205754,3.0,172,9.010307392533033,57.0229434806939
70x70,70,70,10.838240838050842,0.8584501194591478,10.721484375,203.7,0.5711,0.210201,5.0,204,18.977833720978534,53.36466644806354
80x80,80,80,25.21893584728241,6.622829716263007,18.07109375,240.8,0.756,0.034296,8.0,241,33.358380750373556,55.730405084086286
90x90,90,90,47.2530198097229,9.98737554217846,27.59765625,272.7,1.1766,0.062415,11.7,266,40.16064916685611,57.605095541401276
100x100,100,100,57.5183687210083,10.338923170470174,38.882421875,308.0,1.7893,0.091581,16.0,301,32.14573784217756,58.85029988245813
